numpy_dir = '/home/prent/Repos/One-footed-bride-tuning/Archive/opt', tolerance = 1, limit_max = 19
tonal_diamond.shape = (84, 3), measure = 0

version: bwv253, Tol: 1, Average score: 48.8, max score: 90.0 max chord: 122
overall total: 48.8, num_scores = 1, Average Score: 48.8, max_score = 90.0

version: bwv254, Tol: 1, Average score: 54.6, max score: 140.0 max chord: 158
overall total: 103.5, num_scores = 2, Average Score: 51.7, max_score = 140.0

version: bwv255, Tol: 1, Average score: 50.7, max score: 82.0 max chord: 42
overall total: 154.2, num_scores = 3, Average Score: 51.4, max_score = 140.0

version: bwv256, Tol: 1, Average score: 53.9, max score: 140.0 max chord: 138
overall total: 208.1, num_scores = 4, Average Score: 52.0, max_score = 140.0

version: bwv257, Tol: 1, Average score: 56.9, max score: 140.0 max chord: 128
overall total: 264.9, num_scores = 5, Average Score: 53.0, max_score = 140.0

version: bwv258, Tol: 1, Average score: 57.5, max score: 140.0 max chord: 80
overall total: 322.4, num_scores = 6, Average Score: 53.7, max_score = 140.0

version: bwv259, Tol: 1, Average score: 53.1, max score: 104.0 max chord: 74
overall total: 375.6, num_scores = 7, Average Score: 53.7, max_score = 140.0

version: bwv260, Tol: 1, Average score: 52.0, max score: 105.0 max chord: 72
overall total: 427.6, num_scores = 8, Average Score: 53.5, max_score = 140.0

version: bwv261, Tol: 1, Average score: 55.9, max score: 140.0 max chord: 72
overall total: 483.5, num_scores = 9, Average Score: 53.7, max_score = 140.0

version: bwv262, Tol: 1, Average score: 47.4, max score: 93.0 max chord: 55
overall total: 530.9, num_scores = 10, Average Score: 53.1, max_score = 140.0

version: bwv263, Tol: 1, Average score: 49.5, max score: 140.0 max chord: 104
overall total: 580.4, num_scores = 11, Average Score: 52.8, max_score = 140.0

version: bwv264, Tol: 1, Average score: 47.9, max score: 105.0 max chord: 110
overall total: 628.3, num_scores = 12, Average Score: 52.4, max_score = 140.0
numpy_dir = '/home/prent/Repos/One-footed-bride-tuning/Archive/opt', tolerance = 2, limit_max = 19
tonal_diamond.shape = (84, 3), measure = 0

version: bwv253, Tol: 2, Average score: 48.9, max score: 90.0 max chord: 122
overall total: 677.2, num_scores = 13, Average Score: 52.1, max_score = 140.0

version: bwv254, Tol: 2, Average score: 54.3, max score: 126.0 max chord: 159
overall total: 731.4, num_scores = 14, Average Score: 52.2, max_score = 140.0

version: bwv255, Tol: 2, Average score: 50.7, max score: 82.0 max chord: 42
overall total: 782.2, num_scores = 15, Average Score: 52.1, max_score = 140.0

version: bwv256, Tol: 2, Average score: 53.7, max score: 123.0 max chord: 138
overall total: 835.8, num_scores = 16, Average Score: 52.2, max_score = 140.0

version: bwv257, Tol: 2, Average score: 56.5, max score: 123.0 max chord: 128
overall total: 892.4, num_scores = 17, Average Score: 52.5, max_score = 140.0

version: bwv258, Tol: 2, Average score: 56.9, max score: 123.0 max chord: 80
overall total: 949.3, num_scores = 18, Average Score: 52.7, max_score = 140.0

version: bwv259, Tol: 2, Average score: 53.1, max score: 104.0 max chord: 74
overall total: 1002.4, num_scores = 19, Average Score: 52.8, max_score = 140.0

version: bwv260, Tol: 2, Average score: 52.1, max score: 105.0 max chord: 72
overall total: 1054.5, num_scores = 20, Average Score: 52.7, max_score = 140.0

version: bwv261, Tol: 2, Average score: 55.8, max score: 140.0 max chord: 72
overall total: 1110.2, num_scores = 21, Average Score: 52.9, max_score = 140.0

version: bwv262, Tol: 2, Average score: 47.4, max score: 93.0 max chord: 55
overall total: 1157.6, num_scores = 22, Average Score: 52.6, max_score = 140.0

version: bwv263, Tol: 2, Average score: 49.4, max score: 123.0 max chord: 104
overall total: 1207.0, num_scores = 23, Average Score: 52.5, max_score = 140.0

version: bwv264, Tol: 2, Average score: 47.9, max score: 105.0 max chord: 110
overall total: 1254.9, num_scores = 24, Average Score: 52.3, max_score = 140.0
numpy_dir = '/home/prent/Repos/One-footed-bride-tuning/Archive/opt', tolerance = 3, limit_max = 19
tonal_diamond.shape = (84, 3), measure = 0

version: bwv253, Tol: 3, Average score: 48.9, max score: 90.0 max chord: 122
overall total: 1303.8, num_scores = 25, Average Score: 52.2, max_score = 140.0

version: bwv254, Tol: 3, Average score: 53.9, max score: 82.0 max chord: 6
overall total: 1357.7, num_scores = 26, Average Score: 52.2, max_score = 140.0

version: bwv255, Tol: 3, Average score: 50.7, max score: 82.0 max chord: 42
overall total: 1408.5, num_scores = 27, Average Score: 52.2, max_score = 140.0

version: bwv256, Tol: 3, Average score: 53.1, max score: 94.0 max chord: 74
overall total: 1461.6, num_scores = 28, Average Score: 52.2, max_score = 140.0

version: bwv257, Tol: 3, Average score: 55.3, max score: 105.0 max chord: 86
overall total: 1516.9, num_scores = 29, Average Score: 52.3, max_score = 140.0

version: bwv258, Tol: 3, Average score: 54.9, max score: 95.0 max chord: 88
overall total: 1571.8, num_scores = 30, Average Score: 52.4, max_score = 140.0

version: bwv259, Tol: 3, Average score: 53.1, max score: 100.0 max chord: 74
overall total: 1624.9, num_scores = 31, Average Score: 52.4, max_score = 140.0

version: bwv260, Tol: 3, Average score: 51.7, max score: 96.0 max chord: 72
overall total: 1676.6, num_scores = 32, Average Score: 52.4, max_score = 140.0

version: bwv261, Tol: 3, Average score: 55.4, max score: 101.0 max chord: 242
overall total: 1732.0, num_scores = 33, Average Score: 52.5, max_score = 140.0

version: bwv262, Tol: 3, Average score: 47.4, max score: 93.0 max chord: 55
overall total: 1779.4, num_scores = 34, Average Score: 52.3, max_score = 140.0

version: bwv263, Tol: 3, Average score: 49.1, max score: 105.0 max chord: 86
overall total: 1828.5, num_scores = 35, Average Score: 52.2, max_score = 140.0

version: bwv264, Tol: 3, Average score: 47.8, max score: 96.0 max chord: 110
overall total: 1876.3, num_scores = 36, Average Score: 52.1, max_score = 140.0
numpy_dir = '/home/prent/Repos/One-footed-bride-tuning/Archive/opt', tolerance = 4, limit_max = 19
tonal_diamond.shape = (84, 3), measure = 0

version: bwv253, Tol: 4, Average score: 48.9, max score: 90.0 max chord: 122
overall total: 1925.2, num_scores = 37, Average Score: 52.0, max_score = 140.0

version: bwv254, Tol: 4, Average score: 53.9, max score: 82.0 max chord: 6
overall total: 1979.1, num_scores = 38, Average Score: 52.1, max_score = 140.0

version: bwv255, Tol: 4, Average score: 50.7, max score: 82.0 max chord: 42
overall total: 2029.9, num_scores = 39, Average Score: 52.0, max_score = 140.0

version: bwv256, Tol: 4, Average score: 53.1, max score: 94.0 max chord: 74
overall total: 2083.0, num_scores = 40, Average Score: 52.1, max_score = 140.0

version: bwv257, Tol: 4, Average score: 55.1, max score: 94.0 max chord: 74
overall total: 2138.1, num_scores = 41, Average Score: 52.1, max_score = 140.0

version: bwv258, Tol: 4, Average score: 54.5, max score: 94.0 max chord: 74
overall total: 2192.6, num_scores = 42, Average Score: 52.2, max_score = 140.0

version: bwv259, Tol: 4, Average score: 53.1, max score: 95.0 max chord: 74
overall total: 2245.7, num_scores = 43, Average Score: 52.2, max_score = 140.0

version: bwv260, Tol: 4, Average score: 52.0, max score: 96.0 max chord: 72
overall total: 2297.7, num_scores = 44, Average Score: 52.2, max_score = 140.0

version: bwv261, Tol: 4, Average score: 55.5, max score: 105.0 max chord: 72
overall total: 2353.2, num_scores = 45, Average Score: 52.3, max_score = 140.0

version: bwv262, Tol: 4, Average score: 47.3, max score: 93.0 max chord: 55
overall total: 2400.5, num_scores = 46, Average Score: 52.2, max_score = 140.0

version: bwv263, Tol: 4, Average score: 48.9, max score: 93.0 max chord: 86
overall total: 2449.4, num_scores = 47, Average Score: 52.1, max_score = 140.0

version: bwv264, Tol: 4, Average score: 47.8, max score: 96.0 max chord: 110
overall total: 2497.2, num_scores = 48, Average Score: 52.0, max_score = 140.0
