chorale,initial_combined,initial_mean,initial_spread,initial_max,final_combined,final_mean,final_spread,final_max,delta,improvements,custom_params,total_time_s
bwv253,129.4,86.8,85.3,3107.0,120.9,86.4,69.0,3056.0,-8.5,4,"{""tolerance"": 2, ""rolls"": 10, ""sa_iters"": 150, ""sa_restarts"": 16}",1294
bwv254,91.0,54.2,73.6,140.0,87.9,54.2,67.3,140.0,-3.1,1,,1104
bwv255,89.1,50.6,76.9,82.0,80.4,50.7,59.2,82.0,-8.7,4,"{""sa_iters"": 200, ""sa_restarts"": 16, ""stability_factor"": 0.75}",957
bwv256,95.2,53.5,83.3,140.0,94.4,53.6,81.7,140.0,-0.8,2,"{""stability_factor"": 0.25}",1111
bwv257,136.6,93.0,87.4,3087.0,95.6,56.0,79.2,140.0,-41.0,3,"{""sa_iters"": 150, ""sa_restarts"": 16}",1229
bwv258,99.4,57.2,84.4,140.0,96.8,57.3,79.0,140.0,-2.6,2,"{""rolls"": 10}",1149
bwv259,91.7,52.9,77.6,104.0,90.9,52.7,76.4,104.0,-0.8,1,"{""sa_max_alpha"": 10.0}",1174
bwv260,91.8,51.5,80.6,105.0,88.1,51.6,73.0,105.0,-3.7,2,,1123
bwv261,97.7,54.7,85.9,140.0,98.0,53.9,88.3,140.0,0.3,0,,1386
bwv262,214.0,174.2,79.5,3115.0,89.2,46.5,85.5,78.0,-124.8,3,"{""rolls"": 10, ""sa_iters"": 150, ""parallel_restarts"": 16}",1574
bwv263,141.6,96.4,90.3,3113.0,85.7,49.5,72.3,140.0,-55.9,3,"{""ratio_factor"": 1.0, ""sa_iters"": 150}",1378
