instrument,file,note,midi,expected_hz,detected_hz,cent_offset,warning
B- CLARINET,CLARBB A#3-f.aif,A#3,58,233.082,234.063,7.28,
B- CLARINET,CLARBB A#3.aif,A#3,58,233.082,234.063,7.28,
B- CLARINET,CLARBB A#4-f.aif,A#4,70,466.164,466.473,1.15,
B- CLARINET,CLARBB A#4.aif,A#4,70,466.164,466.473,1.15,
B- CLARINET,CLARBB A#5-f.aif,A#5,82,932.328,933.539,2.25,
B- CLARINET,CLARBB A#5.aif,A#5,82,932.328,933.539,2.25,
B- CLARINET,CLARBB C4-f.aif,C4,60,261.626,261.911,1.89,
B- CLARINET,CLARBB C4.aif,C4,60,261.626,261.913,1.9,
B- CLARINET,CLARBB C5-f.aif,C5,72,523.251,524.471,4.03,
B- CLARINET,CLARBB C5.aif,C5,72,523.251,524.471,4.03,
B- CLARINET,CLARBB C6-f.aif,C6,84,1046.502,1047.996,2.47,
B- CLARINET,CLARBB C6.aif,C6,84,1046.502,1047.996,2.47,
B- CLARINET,CLARBB D3-f.aif,D3,50,146.832,146.893,0.71,
B- CLARINET,CLARBB D3.aif,D3,50,146.832,146.893,0.71,
B- CLARINET,CLARBB D5-f.aif,D5,74,587.33,587.673,1.01,
B- CLARINET,CLARBB D5.aif,D5,74,587.33,587.673,1.01,
B- CLARINET,CLARBB D6-f.aif,D6,86,1174.659,1175.368,1.04,
B- CLARINET,CLARBB D6.aif,D6,86,1174.659,1175.368,1.04,
B- CLARINET,CLARBB E3-f.aif,E3,52,164.814,165.311,5.22,
B- CLARINET,CLARBB E3.aif,E3,52,164.814,165.311,5.22,
B- CLARINET,CLARBB E4-f.aif,E4,64,329.628,330.524,4.7,
B- CLARINET,CLARBB E4.aif,E4,64,329.628,330.524,4.7,
B- CLARINET,CLARBB E5-f.aif,E5,76,659.255,660.794,4.04,
B- CLARINET,CLARBB E5.aif,E5,76,659.255,660.794,4.04,
B- CLARINET,CLARBB F#3-f.aif,F#3,54,184.997,185.144,1.38,
B- CLARINET,CLARBB F#3.aif,F#3,54,184.997,185.144,1.38,
B- CLARINET,CLARBB F#4-f.aif,F#4,66,369.994,370.22,1.06,
B- CLARINET,CLARBB F#4.aif,F#4,66,369.994,370.22,1.06,
B- CLARINET,CLARBB F#5-f.aif,F#5,78,739.989,742.021,4.75,
B- CLARINET,CLARBB F#5.aif,F#5,78,739.989,742.021,4.75,
B- CLARINET,CLARBB G#3-f.aif,G#3,56,207.652,207.607,-0.38,
B- CLARINET,CLARBB G#3.aif,G#3,56,207.652,207.607,-0.38,
B- CLARINET,CLARBB G#4-f.aif,G#4,68,415.305,415.797,2.05,
B- CLARINET,CLARBB G#4.aif,G#4,68,415.305,415.797,2.05,
B- CLARINET,CLARBB G#5-f.aif,G#5,80,830.609,831.863,2.61,
B- CLARINET,CLARBB G#5.aif,G#5,80,830.609,831.863,2.61,
BASSOON,BASS A#2.aif,A#2,46,116.541,116.69,2.21,
BASSOON,BASS A#3.aif,A#3,58,233.082,233.284,1.5,
BASSOON,BASS C3.aif,C3,48,130.813,130.885,0.96,
BASSOON,BASS C4.aif,C4,60,261.626,261.918,1.93,
BASSOON,BASS D3.aif,D3,50,146.832,147.083,2.95,
BASSOON,BASS D4.aif,D4,62,293.665,293.754,0.53,
BASSOON,BASS E3.aif,E3,52,164.814,164.538,-2.9,
BASSOON,BASS E4.aif,E4,64,329.628,329.713,0.45,
BASSOON,BASS F#3.aif,F#3,54,184.997,184.922,-0.7,
BASSOON,BASS G#3.aif,G#3,56,207.652,206.993,-5.51,
BASSOON,BASSOON A#1.aif,A#1,34,58.27,116.868,4.85,NOTE: detected at 2x harmonic — divided down
BASSOON,BASSOON C2.aif,C2,36,65.406,65.682,7.27,
BASSOON,BASSOON D2.aif,D2,38,73.416,73.908,11.57,
