
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.125_s0_md33_sn0_lm17                   17   48.9     90    122     12.4       60.1 <-- BEST
  t2_r1.5_s0_md33_sn0_lm19                     19   48.9     90    122     12.4       60.1
  t2_r1.625_s0_md33_sn0_lm19                   19   48.9     90    122     12.4       60.1
  t1_r1.25_s0_md33_sn0_lm17                    17   48.9     90    122     12.4       60.1
  t1_r1.5_s0_md33_sn0_lm19                     19   48.9     90    122     12.4       60.1
  t2_r1.5_s0_md33_sn0_lm17                     17   48.9     90    122     12.5       60.2
  t2_r1.25_s0_md33_sn0_lm17                    17   49.0     90    122     12.4       60.2
  t1_r1.125_lm17_tmp3.0                        17   49.1     93    126     12.4       60.3
  t1_r1.125_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t1_r1.25_lm17_tmp3.0                         17   49.1     93    126     12.4       60.3
  t1_r1.25_lm19_tmp3.0                         19   49.1     93    126     12.4       60.3
  t1_r1.375_lm17_tmp3.0                        17   49.1     93    126     12.4       60.3
  t1_r1.375_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t1_r1.375_s0_md33_sn0_lm17                   17   49.1     93    126     12.4       60.3
  t1_r1.375_s0_md33_sn0_lm19                   19   49.1     93    126     12.4       60.3
  t1_r1.5_lm17_tmp3.0                          17   49.1     93    126     12.4       60.3
  t1_r1.5_lm19_tmp3.0                          19   49.1     93    126     12.4       60.3
  t1_r1.5_s0_md33_sn0_lm17                     17   49.1     93    126     12.4       60.3
  t1_r1.625_lm17_tmp3.0                        17   49.1     93    126     12.4       60.3
  t1_r1.625_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t1_r1.625_s0_md33_sn0_lm17                   17   49.1     93    126     12.4       60.3
  t2_r1.25_lm17_tmp3.0                         17   49.1     93    126     12.4       60.3
  t2_r1.25_lm19_tmp3.0                         19   49.1     93    126     12.4       60.3
  t2_r1.375_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t2_r1.375_s0_md33_sn0_lm17                   17   49.1     93    126     12.4       60.3
  t2_r1.5_lm17_tmp3.0                          17   49.1     93    126     12.4       60.3
  t2_r1.625_lm17_tmp3.0                        17   49.1     93    126     12.4       60.3
  t2_r1.625_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t2_r1.125_lm17_tmp3.0                        17   49.1     93    126     12.5       60.3
  t1_r1.75_s0_md33_sn0_lm19                    19   49.1     93    126     12.4       60.3
  t2_r1.125_lm19_tmp3.0                        19   49.1     93    126     12.4       60.3
  t2_r1.25_s0_md33_sn0_lm19                    19   49.1     93    126     12.4       60.3
  t2_r1.5_lm19_tmp3.0                          19   49.1     93    126     12.4       60.3
