
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.375_s0_md33_sn0_lm19                   19   49.1     93    126     13.3       61.1 <-- BEST
  t2_r1.75_s0_md33_sn0_lm17                    17   49.1     90    122     13.7       61.4
  t1_r1.5_lm19_tmp3.0                          19   49.1     93    126     13.8       61.5
  t1_r1.375_lm17_tmp3.0                        17   49.1     93    126     14.2       61.9
  t2_r1.25_lm17_tmp3.0                         17   49.1     93    126     14.2       61.9
  t2_r1.375_lm19_tmp3.0                        19   49.1     93    126     14.2       61.9
  t2_r1.625_lm17_tmp3.0                        17   49.1     93    126     14.7       62.3
  t1_r1.125_s0_md33_sn0_lm17                   17   48.9     90    122     15.1       62.5
  t1_r1.125_s0_md33_sn0_lm19                   19   49.3     93    126     14.9       62.7
  t2_r1.25_lm19_tmp3.0                         19   49.1     93    126     15.1       62.7
  t2_r1.25_s0_md33_sn0_lm19                    19   49.1     93    126     15.1       62.7
  t1_r1.625_s0_md33_sn0_lm17                   17   49.1     93    126     15.3       62.9
  t2_r1.75_s0_md33_sn0_lm19                    19   49.1     93    126     15.3       62.9
  t1_r1.5_lm17_tmp3.0                          17   49.1     93    126     15.6       63.1
  t2_r1.625_lm19_tmp3.0                        19   49.1     93    126     15.6       63.1
  t1_r1.125_lm19_tmp3.0                        19   49.1     93    126     16.0       63.5
  t1_r1.5_s0_md33_sn0_lm17                     17   49.1     93    126     16.0       63.5
  t1_r1.625_lm17_tmp3.0                        17   49.1     93    126     16.0       63.5
  t1_r1.75_s0_md33_sn0_lm17                    17   48.9     90    122     16.4       63.7
  t1_r1.25_s0_md33_sn0_lm17                    17   48.9     90    122     16.4       63.7
  t2_r1.5_s0_md33_sn0_lm17                     17   48.9     90    122     16.4       63.7
  t1_r1.25_lm17_tmp3.0                         17   49.1     93    126     16.4       63.9
  t2_r1.5_lm19_tmp3.0                          19   49.1     93    126     16.4       63.9
  t1_r1.625_s0_md33_sn0_lm19                   19   49.3     93    126     16.4       64.1
  t2_r1.125_lm19_tmp3.0                        19   49.1     93    126     16.9       64.3
  t1_r1.625_lm19_tmp3.0                        19   49.1     93    126     17.1       64.5
  t1_r1.375_s0_md33_sn0_lm17                   17   49.1     93    126     17.1       64.5
  t2_r1.5_lm17_tmp3.0                          17   49.1     93    126     17.3       64.7
  t2_r1.125_s0_md33_sn0_lm17                   17   49.3     93    126     17.3       64.9
  t2_r1.5_s0_md33_sn0_lm19                     19   48.9     90    122     18.0       65.1
  t1_r1.125_lm17_tmp3.0                        17   49.1     93    126     17.8       65.1
  t1_r1.25_lm19_tmp3.0                         19   49.1     93    126     17.8       65.1
  t2_r1.375_s0_md33_sn0_lm17                   17   49.1     93    126     17.8       65.1
  t2_r1.375_lm17_tmp3.0                        17   49.1     93    126     18.0       65.3
  t1_r1.375_lm19_tmp3.0                        19   49.1     93    126     18.2       65.5
  t2_r1.125_lm17_tmp3.0                        17   49.1     93    126     18.2       65.5
  t1_r1.75_s0_md33_sn0_lm19                    19   49.1     93    126     18.2       65.5
  t2_r1.375_s0_md33_sn0_lm19                   19   49.1     93    126     18.4       65.7
  t2_r1.625_s0_md33_sn0_lm19                   19   48.9     90    122     19.3       66.3
  t1_r1.5_s0_md33_sn0_lm19                     19   48.9     90    122     20.9       67.7
  t2_r1.25_s0_md33_sn0_lm17                    17   49.0     90    122     21.3       68.2
  t1_r1.25_s0_md33_sn0_lm19                    19   49.1     93    126     23.3       70.1
  t2_r1.125_s0_md33_sn0_lm19                   19   74.3   2110    126     16.0       88.7
  t2_r1.625_s0_md33_sn0_lm17                   17   86.4   3047    128     18.9      103.4
  t2_r1.75_s0_md33_sn0_lm23                    23   87.3   3109     22     20.4      105.7

  Winner: t1_r1.375_s0_md33_sn0_lm19
    mean=49.1, max=93 at chord 126, spread=13.3, combined=61.1

==============================================================================
Chorale: bwv254  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.375_lm19_tmp3.0                        19   54.8    145    158     11.5       65.1 <-- BEST
  t1_r1.5_lm19_tmp3.0                          19   55.5    146    160     11.0       65.4
  t1_r1.25_lm19_tmp3.0                         19   54.7    140    158     12.1       65.5
  t1_r1.125_s0_md33_sn0_lm19                   19   54.7    140    158     12.2       65.7
  t1_r1.125_s0_md33_sn0_lm17                   17   55.8    163    160     11.3       66.0
  t1_r1.25_s0_md33_sn0_lm19                    19   55.6    146    160     12.0       66.4
  t1_r1.625_s0_md33_sn0_lm17                   17   55.6    163    160     12.1       66.5
  t1_r1.5_lm17_tmp3.0                          17   54.9    145    158     12.9       66.5
  t1_r1.375_s0_md33_sn0_lm19                   19   55.6    146    160     12.4       66.7
  t1_r1.25_lm17_tmp3.0                         17   55.8    163    160     12.4       67.0
  t1_r1.625_lm19_tmp3.0                        19   54.9    140    158     14.3       67.8
  t1_r1.375_s0_md33_sn0_lm17                   17   55.2    145    158     14.3       68.1
  t1_r1.5_s0_md33_sn0_lm17                     17   56.1    163    160     13.7       68.4
  t1_r1.75_s0_md33_sn0_lm19                    19   55.5    146    160     15.4       69.4
  t1_r1.625_s0_md33_sn0_lm19                   19   55.9    162    160     15.1       69.5
  t1_r1.75_s0_md33_sn0_lm17                    17   54.8    140    158     16.4       69.6
  t1_r1.125_lm19_tmp3.0                        19   55.1    145    158     16.5       70.0
